,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
2,1,10,3,3,1,0,0,4,4,9,11,1,17,-0.9659258262890683,-0.25881904510252063,3.7612001156935624,1750
10,1,2,1,2,1,0,0,4,4,6,11,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1650
14,8,2,4,4,0,0,0,4,9999999,8,5,0,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1700
16,1,2,4,2,1,0,0,4,4,7,4,2,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1750
22,1,3,1,10,1,0,0,4,4,8,2,2,17,-0.9659258262890683,-0.25881904510252063,3.7376696182833684,1733
24,1,2,1,3,2,0,0,4,4,3,10,1,17,-0.9659258262890683,-0.25881904510252063,3.5263605246161616,1766
27,9,8,3,3,0,0,0,4,4,3,7,0,17,-0.9659258262890683,-0.25881904510252063,4.8283137373023015,1750
29,2,2,3,2,2,0,0,4,4,0,5,0,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
31,8,2,3,2,0,0,0,4,4,7,4,0,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
33,8,9,4,2,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
35,8,9,4,2,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
37,1,5,2,2,1,0,0,4,9999999,9999999,9999999,1,11,0.258819045102521,-0.9659258262890682,3.912023005428146,1150
43,2,2,2,2,0,0,0,4,4,7,4,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
45,1,2,2,2,0,10,0,4,1,9,8,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
50,1,2,2,2,1,0,0,4,1,9,13,3,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1850
54,1,2,4,2,1,0,0,4,4,9,10,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
70,2,6,2,6,2,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.189654742026425,1450
75,8,2,3,6,0,0,0,4,9999999,8,5,0,18,-1.0,-1.8369701987210297e-16,4.68213122712422,1808
